synonym	primary
CLEC18A	CLEC18A
KIF7	KIF7
FSHR	FSHR
HBP1	HBP1
SERPINE3	SERPINE3
IFRD1	IFRD1
CD200R1	CD200R1
OR10H2	OR10H2
KCNK4	KCNK4
LHCGR	LHCGR
ZNF740	ZNF740
MT1A	MT1A
LCE2B	LCE2B
C3orf70	C3orf70
SLX4IP	SLX4IP
MAPRE3	MAPRE3
ACTL6B	ACTL6B
IFNA21	IFNA21
EFHD2	EFHD2
BPIFB1	BPIFB1
CDY1B	CDY1B
PDCD5	PDCD5
DUSP2	DUSP2
PIGX	PIGX
CDIN1	CDIN1
AGAP1	AGAP1
NKAIN3	NKAIN3
ATAD3B	ATAD3B
CASP4	CASP4
GLCE	GLCE
USP17L20	USP17L20
MISFA	MISFA
NDUFS5	NDUFS5
GTPBP10	GTPBP10
LCE3C	LCE3C
KLHL2	KLHL2
NKPD1	NKPD1
PPP1R12B	PPP1R12B
PLA2R1	PLA2R1
DNAJB1	DNAJB1
CACNA1G	CACNA1G
IL1R2	IL1R2
ZRANB1	ZRANB1
TDRD6	TDRD6
ENPP7	ENPP7
TSPOAP1	TSPOAP1
ELAVL3	ELAVL3
ZMYM2	ZMYM2
CTIF	CTIF
GLRB	GLRB
DEAF1	DEAF1
SYVN1	SYVN1
PRR29	PRR29
OR8U1	OR8U1
GART	GART
YJU2B	YJU2B
CDH17	CDH17
A2M	A2M
PLAT	PLAT
H2AC21	H2AC21
FAM162A	FAM162A
RAB30	RAB30
GPR182	GPR182
ARIH2	ARIH2
KLHL4	KLHL4
RAD54B	RAD54B
KLHL25	KLHL25
DYNLT5	DYNLT5
KSR1	KSR1
PKM	PKM
DDX60L	DDX60L
OR56A3	OR56A3
GFAP	GFAP
ZNF124	ZNF124
SPRY4	SPRY4
FRMD3	FRMD3
IFT22	IFT22
CEP350	CEP350
SULT1A2	SULT1A2
LENG1	LENG1
ANGPTL6	ANGPTL6
NTPCR	NTPCR
DOCK2	DOCK2
GSTT2	GSTT2
SUCO	SUCO
MCEMP1	MCEMP1
GOLGA6L9	GOLGA6L9
KRT72	KRT72
GCSH	GCSH
SLC29A2	SLC29A2
KLF4	KLF4
THUMPD1	THUMPD1
LYPD8	LYPD8
TAFA5	TAFA5
LRRC55	LRRC55
ARRB2	ARRB2
HIP1	HIP1
MMD2	MMD2
PRRT4	PRRT4
IL27RA	IL27RA
